,ObservationDate,People_Fully_Vaccinated
0,2020-12-20,0.0
1,2020-12-21,0.0
2,2020-12-22,0.0
3,2020-12-23,0.0
4,2020-12-24,0.0
5,2020-12-25,0.0
6,2020-12-26,0.0
7,2020-12-27,0.0
8,2020-12-28,0.0
9,2020-12-29,0.0
10,2020-12-30,0.0
11,2020-12-31,0.0
12,2021-01-01,0.0
13,2021-01-02,0.0
14,2021-01-03,0.0
15,2021-01-04,0.0
16,2021-01-05,0.0
17,2021-01-06,0.0
18,2021-01-07,0.0
19,2021-01-08,0.0
20,2021-01-09,0.0
21,2021-01-10,0.0
22,2021-01-11,0.0
23,2021-01-12,1566885.0
24,2021-01-13,2057420.0
25,2021-01-14,0.0
26,2021-01-15,3221048.0
27,2021-01-16,0.0
28,2021-01-17,0.0
29,2021-01-18,0.0
30,2021-01-19,4046248.0
31,2021-01-20,4322838.0
32,2021-01-21,4789922.0
33,2021-01-22,5513906.0
34,2021-01-23,6055730.0
35,2021-01-24,6433672.0
36,2021-01-25,6692780.0
37,2021-01-26,6963842.0
38,2021-01-27,7602106.0
39,2021-01-28,8526112.0
40,2021-01-29,9561776.0
41,2021-01-30,10519386.0
42,2021-01-31,11314284.0
43,2021-02-01,11855694.0
44,2021-02-02,12129584.0
45,2021-02-03,12873862.0
46,2021-02-04,13852100.0
47,2021-02-05,15007728.0
48,2021-02-06,16634360.0
49,2021-02-07,18294370.0
50,2021-02-08,19036030.0
51,2021-02-09,19680858.0
52,2021-02-10,20939028.0
53,2021-02-11,22377564.0
54,2021-02-12,24171660.0
55,2021-02-13,26164344.0
56,2021-02-14,28154880.0
57,2021-02-15,0.0
58,2021-02-16,30030868.0
59,2021-02-17,30943072.0
60,2021-02-18,32324716.0
61,2021-02-19,34912337.0
62,2021-02-20,36662603.0
63,2021-02-21,38646621.0
64,2021-02-22,39830639.0
65,2021-02-23,40753622.0
66,2021-02-24,42237364.0
67,2021-02-25,44096712.0
68,2021-02-26,46252199.0
69,2021-02-27,48493135.0
70,2021-02-28,50699588.0
71,2021-03-01,52096977.0
72,2021-03-02,53501643.0
73,2021-03-03,55126552.0
74,2021-03-04,56841037.0
75,2021-03-05,58691006.0
76,2021-03-06,60883263.0
77,2021-03-07,62744094.0
78,2021-03-08,64390483.0
79,2021-03-09,65646672.0
80,2021-03-10,67289666.0
81,2021-03-11,69252556.0
82,2021-03-12,71578210.0
83,2021-03-13,75543687.0
84,2021-03-14,76609480.0
85,2021-03-15,78440516.0
86,2021-03-16,79872266.0
87,2021-03-17,81800777.0
88,2021-03-18,83829418.0
89,2021-03-19,85777975.0
90,2021-03-20,88020607.0
91,2021-03-21,90272606.0
92,2021-03-22,91843540.0
93,2021-03-23,93096352.0
94,2021-03-24,94791129.0
95,2021-03-25,96938836.0
96,2021-03-26,99546515.0
97,2021-03-27,102491174.0
98,2021-03-28,105451667.0
99,2021-03-29,107528783.0
100,2021-03-30,109153459.0
101,2021-03-31,111562791.0
102,2021-04-01,114583082.0
103,2021-04-02,118422715.0
104,2021-04-03,122216549.0
105,2021-04-04,125385077.0
106,2021-04-05,127355746.0
107,2021-04-06,128602626.0
108,2021-04-07,131454029.0
109,2021-04-08,135064895.0
110,2021-04-09,139105415.0
111,2021-04-10,144145651.0
112,2021-04-11,148071014.0
113,2021-04-12,150979224.0
114,2021-04-13,153501691.0
115,2021-04-14,156266663.0
116,2021-04-15,159943303.0
117,2021-04-16,164207620.0
118,2021-04-17,167974595.0
119,2021-04-18,171603046.0
120,2021-04-19,173830334.0
121,2021-04-20,175551679.0
122,2021-04-21,178322476.0
123,2021-04-22,181665228.0
124,2021-04-23,185563352.0
125,2021-04-24,189409819.0
126,2021-04-25,192837765.0
127,2021-04-26,195081051.0
128,2021-04-27,196802025.0
129,2021-04-28,199426393.0
130,2021-04-29,202713598.0
131,2021-04-30,206220484.0
132,2021-05-01,210278776.0
133,2021-05-02,213016060.0
134,2021-05-03,214533524.0
135,2021-05-04,215826677.0
136,2021-05-05,218205509.0
137,2021-05-06,221403752.0
138,2021-05-07,225311936.0
